Left Eye,Right Eye,Nose,Left Mouth,Right Mouth
1.414214,1,1.414214,1,2.236068
1.414214,0,1,2,0
1.414214,1.414214,2,0,2
1.414214,3,1,1,3.162278
1.414214,1,1,1,2
0,1,1,2.236068,0
1.414214,1,1,1,0
1.414214,1,1.414214,1.414214,1
1.414214,3.605551,2.236068,1,2.828427
1.414214,0,1.414214,1,0
1.414214,0,0,1.414214,0
1.414214,1,2.236068,2.236068,1.414214
1.414214,1,3.162278,0,1.414214
1,1,1,2,1
1.414214,0,1,0,1
1.414214,1,2.236068,2,0
1.414214,0,1.414214,1,0
1.414214,1.414214,1.414214,1,1.414214
1.414214,1.414214,1.414214,2,1.414214
1.414214,1,2.828427,1.414214,1
1.414214,3.162278,1.414214,6.082763,5.830952
0,1,1,0,1
1.414214,1.414214,1.414214,1,1
0,1,1,1.414214,2
1.414214,1.414214,0,0,0
1,2,1.414214,1,1
2,1.414214,2.236068,2.236068,3
1,1.414214,0,1,2.236068
1.414214,1,1,1,0
1.414214,1.414214,2,1.414214,1.414214
1,1,1,2,1.414214
1.414214,1,1,1,1.414214
1.414214,2,2.236068,1,0
1.414214,1.414214,1.414214,2,1
1.414214,1,1,1.414214,1.414214
1.414214,1,2,0,0
1.414214,2,1,1.414214,1
1,1.414214,0,0,1
1,1,1,1.414214,1
1.414214,1,1.414214,1.414214,1.414214
1.414214,1,1,2.236068,1
1.414214,0,0,2.236068,1
1.414214,1.414214,3.605551,0,1
1.414214,1,0,2.236068,0
1,4.472136,2.828427,2.236068,5.385165
1,1.414214,2.236068,2.236068,2.236068
1.414214,2,1,0,1
1,0,5.385165,1.414214,1
1.414214,0,1.414214,1.414214,1
1.414214,2.236068,2.236068,1,2.236068
1,2,1.414214,2.236068,1.414214
1,0,1,2.828427,1.414214
1.414214,1,2.236068,1.414214,1
1.414214,0,1,1.414214,1.414214
1.414214,1,2,1.414214,1
1.414214,1.414214,2.236068,1.414214,2.236068
1.414214,1.414214,1,1.414214,1.414214
1,1.414214,1,1.414214,0
1.414214,1.414214,2.236068,3.162278,1
1,0,1,0,1
1.414214,1.414214,1,1,1.414214
1,1,2.828427,1,1.414214
1.414214,0,1,2,0
1.414214,1,0,1.414214,1.414214
1.414214,2.236068,2,2.236068,3.162278
1.414214,1,2.828427,2.236068,0
1,1,1.414214,0,1
1,2.236068,1,1.414214,4
1.414214,1,2,1.414214,1
1.414214,1.414214,1.414214,1.414214,1
1.414214,3.605551,2.236068,2.236068,2.236068
0,0,1,0,1.414214
1.414214,0,0,1,0
1.414214,1.414214,1.414214,1.414214,1.414214
1.414214,1,1,1.414214,0
1.414214,4.123106,1.414214,1.414214,4
1,1,1,1,1
1.414214,1.414214,4,2.236068,2.236068
1,1,1.414214,1,1.414214
1.414214,1,1.414214,0,1
1,0,1.414214,0,0
1.414214,1.414214,3.162278,1,1
1.414214,1,1,0,1.414214
1,1.414214,2,1,1
1.414214,3.162278,1,0,2.236068
1.414214,1,0,1,1
0,1.414214,1.414214,1,1
1,1.414214,1,1,0
1,1,2,2.236068,2
1,1.414214,1.414214,0,1
1.414214,1.414214,1.414214,1,1.414214
1.414214,1,1,2,1
1.414214,0,1,1,1
1.414214,1,1,0,1
1.414214,0,2.236068,1,1
1.414214,1,1.414214,0,2
0,1,2,1,2
1,0,1.414214,0,0
1,1,4,1,1
1.414214,0,2.236068,1,1.414214
1,1,1.414214,1,1.414214
1,1,1.414214,0,1.414214
1,5.385165,1.414214,4.123106,4
1,2.828427,6.708204,4.472136,5
1.414214,1,1.414214,3.162278,1.414214
1.414214,1,1.414214,2.236068,1
1.414214,0,5.385165,2.828427,0
1.414214,1.414214,1.414214,0,1
1.414214,1,1.414214,1,1.414214
1.414214,2,2,2.828427,2
1.414214,2.236068,1.414214,2.236068,0
4.123106,4.123106,5.830952,4.472136,5
1.414214,1,1.414214,0,2.236068
1.414214,0,1,1,2
1.414214,1.414214,1,1.414214,1
1.414214,3,4.123106,2,2
1,1,3,1,2.828427
1,1,2.236068,0,1
1.414214,1.414214,1,2,0
1,1.414214,0,1,1
1.414214,1.414214,1.414214,1.414214,1.414214
1,1.414214,0,1.414214,0
1,9.219544,2.828427,11.18034,10
1.414214,0,2,1,1
1,1.414214,1,1.414214,2
1.414214,1,2.236068,1,1
1.414214,1,2.236068,1,0
1.414214,0,1,1,2.236068
0,1,0,2.236068,1
1.414214,0,1.414214,1.414214,1.414214
1.414214,1,1,1,0
1.414214,0,1,1.414214,0
1,0,1,0,1
1.414214,2.828427,1.414214,0,2.828427
0,1,1.414214,1,2
1.414214,1.414214,1,2,2.236068
1.414214,1,4.123106,1,1
1.414214,1.414214,2,1.414214,2
0,1.414214,2.828427,1.414214,2.828427
1.414214,1.414214,2.236068,1.414214,1
1.414214,1.414214,1.414214,1,1.414214
1.414214,1,1,2.236068,1
1.414214,2.828427,2,0,2.236068
1.414214,0,1,1,1
0,1,1,1.414214,1
1.414214,1,0,0,1
1.414214,2,1.414214,2,1.414214
1.414214,0,1.414214,1,1
1.414214,0,1.414214,1,0
1.414214,1,3,2.236068,2.236068
1.414214,1.414214,1.414214,0,1
1.414214,1.414214,3.162278,1,1
1,1.414214,1.414214,1,1.414214
1,1,1,1.414214,1
1.414214,1,1.414214,1,2.236068
1.414214,2,2,1,1.414214
1,1.414214,2.236068,0,2.236068
1.414214,1,2.236068,2.236068,2
1,1,4.123106,3,2
1.414214,1,1.414214,1,0
2.236068,2.236068,5,4.123106,1.414214
0,1,3,0,1.414214
1,1,1,2,1.414214
1.414214,0,1,0,2.236068
1,1,1,1,2.828427
1.414214,1,1,1,0
1,0,2.236068,1.414214,1
0,0,0,1,1
1.414214,0,2.236068,1.414214,1
1.414214,1,1.414214,2.236068,2
1.414214,1.414214,3,1.414214,2
1.414214,1,1.414214,2,1
1.414214,1,1,1,0
1.414214,2.236068,1,1.414214,1
1,2.236068,2,0,2.236068
1.414214,1.414214,2.236068,1.414214,1
1.414214,1,1.414214,0,1
1.414214,1.414214,0,1,0
1.414214,1.414214,1,1,1
1.414214,0,0,1.414214,1
1.414214,1,0,2,1.414214
1.414214,2.236068,2,1,2.236068
1.414214,0,2.236068,2,1.414214
1.414214,1,0,0,1.414214
1.414214,0,0,1,1
1.414214,12,10,20.396078,19.104973
1.414214,1,1.414214,1,1.414214
1.414214,1,0,1.414214,0
0,1,3.605551,2.236068,2.236068
1.414214,1.414214,2.236068,2,1.414214
1,1,0,1,3.162278
1.414214,0,2.236068,1.414214,2
1.414214,1,1,1,1
1.414214,1,2.236068,1.414214,1
1,1,1,1.414214,1
1,1,1.414214,0,1
1.414214,2.236068,4,2,1.414214
1,1,2,2.236068,1.414214
1.414214,1.414214,1.414214,0,1
1,0,1,1.414214,1.414214
1.414214,1,1,3,3.605551
1.414214,1,2,1,2
1.414214,1.414214,2.236068,1,0
1.414214,1.414214,2.236068,1.414214,1
1.414214,2,1.414214,2,1
1,1.414214,1.414214,1.414214,1.414214
1.414214,3,4.242641,0,2.828427
1,1,0,2,1
2,0,0,4.472136,2.236068
1,1,0,0,1
1.414214,0,0,2.236068,1
1.414214,1,1,1.414214,1
1.414214,1,1,2,1
1,1,1.414214,1,1.414214
1.414214,0,2.828427,0,1
1.414214,1,2.236068,0,1
1.414214,1.414214,1,2.236068,1
1.414214,1.414214,1,1.414214,1
1.414214,0,1,1.414214,1.414214
1.414214,1,1.414214,2,1
1.414214,1.414214,0,1,1
2.236068,1.414214,1.414214,3,2
1,2.236068,1.414214,1,1.414214
1,1,0,1.414214,1
0,1.414214,1.414214,2,2
1.414214,0,0,0,1.414214
1,0,1,2.236068,1
1.414214,0,0,2,1
1.414214,1,2.236068,1.414214,2.236068
1.414214,1.414214,1,1.414214,1.414214
1.414214,1.414214,1,1,1.414214
1.414214,1,1,1,1
1.414214,1.414214,1,1,1.414214
5.830952,11.18034,10.049876,8.944272,19.416488
1.414214,1.414214,1.414214,1.414214,3
1,1,1.414214,0,1
1,1,1,0,1.414214
1,1,1.414214,1,3
1.414214,1,0,1.414214,1.414214
1.414214,1,0,2.236068,2
1.414214,1,1,1,1
0,1,1,1,1
1,1.414214,2.236068,1,2.236068
1.414214,1,1,2,1
1.414214,1.414214,0,1.414214,2
1,1,0,1,1.414214
1.414214,1.414214,2,1.414214,0
1.414214,3.162278,2.236068,0,2.236068
1.414214,1.414214,0,1,1
1.414214,1,0,0,1
1,1,0,0,1
1.414214,1,2,1.414214,0
1,1.414214,1,1,1.414214
1,1.414214,1.414214,1.414214,1
1.414214,0,2.236068,1,0
1.414214,2.236068,5.830952,2,4.123106
1,1.414214,0,1,1.414214
1,0,0,1,1
1.414214,0,0,1,1
1.414214,1,3.162278,1,3
1.414214,1,2.236068,2.236068,1.414214
1.414214,2,2.828427,2,1
1,1,1,1,2.236068
1.414214,2.236068,1,2,1
1.414214,1,1,1.414214,0
1.414214,1,1.414214,0,0
0,1,1,1.414214,1
1.414214,1,0,1.414214,1.414214
1.414214,1,1,1,1.414214
1.414214,1,3.162278,2,1
1.414214,1,1,2.236068,0
1,1,1.414214,1.414214,1.414214
1.414214,1.414214,1.414214,0,1
1.414214,1.414214,1,1,0
1.414214,0,2,1.414214,1
1.414214,0,1.414214,0,1
1.414214,1,3.162278,1,0
1.414214,1.414214,1.414214,1.414214,1
1.414214,0,3,1,1
1.414214,1.414214,1,1.414214,1
1.414214,1.414214,2,1,0
1,1,1.414214,2.236068,1
1.414214,1,1.414214,0,1.414214
1.414214,1,2.236068,1,0
0,1,1,1,1
1.414214,1,1,1,0
0,3,6.082763,1.414214,1.414214
1,1.414214,2.236068,1,0
2.236068,2.236068,3.162278,4.472136,5.656854
1.414214,1.414214,1.414214,1,1
1,0,1,1,0
1,1,0,1,1
1,1.414214,1,1,1
1.414214,0,1.414214,1,1.414214
1.414214,7.615773,4,5,5.830952
1,2.236068,1,1,1
1.414214,0,2.828427,1,1
1,1.414214,2,0,1
1,1,1,2.236068,1.414214
1.414214,2.236068,1,2.236068,2.236068
1.414214,0,1.414214,1,1.414214
1.414214,1,1,1,0
1.414214,1.414214,2,1,1
1.414214,1,1.414214,1.414214,1.414214
1.414214,1,2.236068,0,1.414214
1.414214,1,1,1.414214,1.414214
0,1,1.414214,1,0
1.414214,1,2,1,1
1.414214,1,1,1,1.414214
1.414214,2,1,0,2.236068
1.414214,1,0,0,0
1,2.236068,1.414214,1,1.414214
1,2.236068,0,1,3.162278
1.414214,1.414214,0,1,0
1,1,1.414214,1,1
1.414214,1,1,2.828427,2
1.414214,1.414214,1.414214,2.828427,2.236068
1,1,1.414214,0,1
1.414214,1,2,1,1
1.414214,1.414214,2.236068,1.414214,2
1.414214,0,2,1,1.414214
1,0,1,1,1
1,1,1.414214,1,1
1,0,2,2.236068,4.123106
1.414214,1,1,1.414214,2
1,1,3.605551,2,2
0,1.414214,2,1,2.236068
1.414214,1,1.414214,0,1.414214
2.828427,1,1.414214,4.123106,3
1,2.236068,1.414214,1,1
1.414214,1,1.414214,2,1
1.414214,0,2,0,1.414214
1.414214,2.828427,1.414214,1.414214,7.071068
1.414214,1,1.414214,1.414214,1.414214
1.414214,0,3,0,1
1,2.236068,5.656854,2.236068,1
1,2.236068,1.414214,1.414214,1.414214
1.414214,2,1,2,3.162278
1.414214,1,1.414214,0,1
1.414214,1,2.236068,1,0
1.414214,1,1,0,0
1.414214,0,1,0,0
1.414214,0,2.236068,0,1
1.414214,2.236068,4.242641,1,3.162278
1,1.414214,5.385165,3.162278,2
1.414214,0,1,1,1
1.414214,1,1.414214,1.414214,1.414214
0,3,1.414214,1,1
1.414214,1,1,2.236068,2.236068
0,0,1.414214,0,0
1.414214,1.414214,1,1,2
1,4,6.324555,1,2.828427
1,0,1,2,1
1.414214,1.414214,3,1.414214,1
0,1,1.414214,2,1
1.414214,1,1,1.414214,1.414214
1.414214,2.236068,1,1,1
1.414214,1,2,1.414214,1
0,1,1,1.414214,2.236068
1,0,1,0,1
1.414214,1.414214,1,1,1
1.414214,1.414214,1.414214,1,3.162278
1.414214,1,1.414214,1,0
0,0,1.414214,1.414214,2
0,1,1,0,1.414214
1.414214,1,1.414214,1,1
1,1.414214,1,1,0
1.414214,0,1.414214,0,1
1.414214,1.414214,1.414214,2,1
0,1,1,1,1
1,0,1,0,0
1.414214,0,0,1,1
1.414214,1.414214,1,1.414214,1.414214
1.414214,1,0,1,1
1,1,3.162278,2,2.236068
1.414214,0,1.414214,2.236068,2.236068
1.414214,2,1,1,0
1.414214,1,2.236068,0,1
1.414214,1.414214,1.414214,1,1.414214
1.414214,2,2.828427,1,3.162278
1.414214,1,1.414214,1,1
1.414214,1,1.414214,2,1
1,1,1.414214,0,1.414214
1.414214,5.385165,2.236068,2.236068,4.472136
1,0,1,1,1
1.414214,0,0,0,4.123106
1.414214,2,1,1,2.236068
1.414214,1,3.605551,1,2
1.414214,1,0,1,2.236068
1.414214,2.236068,2,1.414214,2
1.414214,1,0,1.414214,2
1.414214,1.414214,2,0,2.236068
0,3,1.414214,1.414214,2.236068
1,1,2.236068,1,0
1.414214,1,1.414214,1,1.414214
1.414214,1,1,1.414214,1.414214
1.414214,2,2.236068,2.236068,1.414214
1.414214,1,1,1.414214,1
0,1,3,0,2
1.414214,0,1,0,0
0,1,2,1,1.414214
1,1,1,1,1
1.414214,1.414214,1.414214,1.414214,1.414214
1.414214,1.414214,3,1.414214,1.414214
0,0,2.236068,0,1
1.414214,1.414214,0,1,0
1.414214,1,0,0,1.414214
1.414214,1,2.828427,1,2
0,1,0,1.414214,1
1.414214,1,2.236068,1,1
1,0,2.236068,2.236068,0
0,1,2,0,1
1.414214,0,1,1,1.414214
1,0,0,1,0
1.414214,1,1,1.414214,1
3.162278,1.414214,6,5.09902,7.071068
1,1.414214,3,2.236068,1
1,1.414214,2.236068,1,1
1.414214,0,2.236068,2,1
1.414214,1,1.414214,2,2
1.414214,2,3.162278,2.236068,2.828427
1.414214,1,0,1,2
1.414214,1.414214,1,0,1
1.414214,1,1,1.414214,0
1,0,2,1.414214,0
1.414214,1.414214,1,1,1
1,4.242641,2.828427,1,3.605551
1,1.414214,1,1,1.414214
1.414214,1,1,1,1.414214
1,1,1.414214,3,1
1.414214,0,2,1.414214,1.414214
1.414214,0,1,1,1
1.414214,2.236068,1,1,2.828427
1.414214,1.414214,2,1.414214,1
1.414214,1.414214,1,1.414214,1
1.414214,0,1,0,2.236068
1.414214,1,1,2,1
1.414214,1,1,0,2
0,1.414214,1.414214,1,1
1,1.414214,2.236068,0,1
1,0,0,2,0
0,2.236068,2.236068,1,3.162278
1.414214,0,5.830952,3.162278,1.414214
1.414214,0,0,1,0
1.414214,1,0,1,1
1.414214,1,1.414214,1,0
1,1.414214,1,2,0
1,0,1,1,1
1,2,0,2.236068,1
1.414214,3.605551,3.162278,1.414214,2.236068
1,1,1.414214,1,2
1,2.236068,1.414214,1,2.236068
1.414214,1,1,1,1
0,1.414214,1,1,0
1.414214,1,1,1,1
1.414214,1,2.236068,0,0
1,0,1,1,0
1,0,1,1,1.414214
1,1.414214,1,1.414214,1
1,1,1,1.414214,1
1.414214,1,1.414214,1,1
1.414214,1,3,1,1.414214
1.414214,1.414214,1,0,1
1.414214,1.414214,1,1,1
1,1.414214,1.414214,1.414214,0
4.123106,2.236068,1.414214,6.708204,5
1.414214,1,2.828427,1,1
1,1.414214,2,1.414214,2
1.414214,2,1.414214,3.605551,2.236068
1.414214,1,1,2.236068,1
1,0,1.414214,1.414214,3.162278
1.414214,1.414214,1,0,1
1,2,2,3,2.236068
1.414214,0,1,1,1
1.414214,1.414214,1.414214,1,0
1.414214,0,1,2.236068,1
1.414214,1,2.236068,3,2
1.414214,0,1,0,1
2,1.414214,2.236068,3.162278,3.162278
1.414214,1,1.414214,0,1
1.414214,1,3,2.236068,2.828427
1.414214,1,1.414214,1,0
1.414214,1,2,1,1
1,2.236068,0,1.414214,1
1.414214,1,1.414214,3.162278,2
1.414214,1.414214,1,1,0
1,1.414214,0,1,1.414214
1.414214,1,1.414214,1,2.236068
1.414214,2,1.414214,0,1.414214
1,1.414214,1.414214,3.162278,2
1.414214,1.414214,0,1,0
1.414214,1,1,1,1
1.414214,1,1.414214,1.414214,1
1,2.236068,1,1,2.828427
1.414214,1,1.414214,1.414214,0
1.414214,0,1.414214,1.414214,0
1.414214,0,1.414214,0,1
1.414214,1.414214,2.828427,1.414214,2
1.414214,1,1,1.414214,1
1,2.236068,5,3.162278,5
1,1.414214,1,1,1
1.414214,1,2,0,1
1.414214,1,0,1,1.414214
1.414214,1,1,1.414214,2
1,0,2.236068,0,0
1.414214,1.414214,1,1,0
1.414214,2,1,1.414214,3.162278
1.414214,1,3.162278,3.162278,1.414214
1.414214,1,0,1.414214,1
1.414214,1,1.414214,1,1
1.414214,1,2,1,0
1.414214,1,1,1.414214,3
1,1.414214,1,1,1.414214
0,1.414214,1,1,2.236068
0,0,0,0,1
1,1.414214,1,1,2
1.414214,1.414214,2,1,1
1,0,1,1,1.414214
1,1,1,1.414214,1.414214
0,1,2.236068,1.414214,1
0,1,2.236068,3.162278,3.162278
1,1.414214,2.236068,1,1.414214
1.414214,1,2,1,1
1.414214,1,0,1,1
1.414214,1,1.414214,1,0
1,0,2,2,1
1,4,2,4.472136,5.830952
1,0,1.414214,1,1
1.414214,1,4.123106,2.828427,2.236068
1,1.414214,1.414214,1.414214,2.236068
1.414214,0,0,0,1
0,1,1.414214,0,0
1.414214,1,0,1,1
1.414214,2,3.162278,2.236068,0
1.414214,1.414214,2.236068,1,1.414214
1,2,1.414214,0,1.414214
1.414214,2,2,1.414214,1.414214
1.414214,1,1,1.414214,1
1.414214,1.414214,2.236068,1,2
1,1,2.236068,1.414214,1.414214
1,1,3.605551,0,0
1.414214,1,1.414214,2.236068,1.414214
1.414214,0,1.414214,1,1
1.414214,1.414214,2,1.414214,1
1,0,1.414214,0,1.414214
1.414214,1,1.414214,1,2.236068
1,1.414214,1,1,1
1.414214,1,3.605551,3,1
1,1,0,1,0
1.414214,2.236068,2,1,1.414214
1,2.828427,1,0,2.236068
1.414214,1.414214,0,1,1.414214
1.414214,1.414214,1,1,0
1,1.414214,3,1.414214,1.414214
1.414214,1,0,0,1
1.414214,2,1,2,1
1.414214,1,2.828427,2,3.605551
1.414214,1.414214,0,1,2
1.414214,1.414214,1.414214,0,1.414214
1,1,0,1,1
1.414214,1,0,2,1.414214
1.414214,1,2,1.414214,1
1.414214,1.414214,1,0,2
1.414214,0,3.162278,1.414214,0
1.414214,1,1.414214,0,2
1.414214,1,1,1,1
1.414214,1,1,3,1
1.414214,1,1,0,1
1.414214,1.414214,2,1,1.414214
1,4.242641,1,1.414214,3
1.414214,1.414214,3.162278,1,2.236068
1,1.414214,1.414214,2,1
1.414214,1.414214,1.414214,0,2
1.414214,1,2,1,1
1,2.236068,1.414214,1.414214,1
1,1,1,1.414214,1.414214
1.414214,2.236068,2.236068,1,1
1.414214,1,0,0,0
1.414214,1,2.236068,1,1
1.414214,1,2,1,3.605551
1.414214,1.414214,5,3,2.236068
1,1,1,1,1
1.414214,1,1,1,2.236068
1.414214,1.414214,4.242641,4.123106,1.414214
1.414214,1,2.236068,1.414214,2.236068
1.414214,2,4.123106,3.162278,8.062258
1.414214,1,1,1.414214,1
1,0,0,1.414214,0
1.414214,1,2,1,1.414214
1,1,1,0,1.414214
1.414214,1.414214,0,1,1.414214
1,4,1,3,0
1.414214,1,1.414214,1,1.414214
1.414214,1.414214,2,1,3
1,1.414214,2.236068,1,1
1.414214,1,1.414214,0,1
1.414214,1,1,2.236068,1
1.414214,1.414214,1,2,1.414214
1.414214,1,1,1,0
1,2.236068,3.162278,1,2.236068
1.414214,1,0,1,1
1.414214,0,2,0,2.236068
1.414214,1,1,1,2.236068
1.414214,1,1,2.236068,1.414214
1.414214,2,2,1.414214,1.414214
1.414214,2.236068,4.242641,1,1.414214
1,1.414214,2.236068,1,1
1.414214,1,3.162278,1.414214,0
1.414214,1,1.414214,2,1.414214
1.414214,2.236068,1,1.414214,2.236068
1.414214,1,1,2.236068,2
1.414214,2,1,3,0
1.414214,1,3.162278,0,2
2.236068,2.236068,1,1.414214,1
1.414214,0,1.414214,0,2
1.414214,1,1.414214,0,1.414214
1.414214,1,1,1,0
1,1,2,1,0
1,1.414214,1.414214,0,2.236068
1.414214,1,2.236068,3,1
1.414214,0,1.414214,1.414214,1
1.414214,1,2,0,0
1,1.414214,4.242641,0,1
1.414214,1.414214,1,1.414214,1
1.414214,1,1,2,1.414214
1.414214,2,2,2,1
1.414214,1.414214,0,1,0
1.414214,2,1.414214,2,2.236068
1.414214,0,1.414214,2.236068,0
1.414214,1.414214,2.236068,2,1
2.236068,2.236068,2.828427,3,1
1.414214,0,0,1,1.414214
1.414214,1,1,1,1.414214
1.414214,1,1.414214,2.236068,1
0,2,2.828427,1,1
1,1,2.828427,1.414214,3
1,2.828427,3.162278,0,1
2.236068,2.236068,1,4.123106,2.828427
1.414214,1,3,1,3.162278
2.236068,1.414214,1.414214,1.414214,1
1.414214,1,1,0,1.414214
1,2.236068,1,0,2
1,1,2.236068,1.414214,1
1.414214,1,1.414214,1.414214,1
1,2.236068,1.414214,0,1.414214
1,2.236068,0,1,1
1.414214,0,2.236068,1.414214,2.236068
1.414214,1,1,0,1
0,1,2.828427,0,1.414214
1,1.414214,1.414214,3,2.236068
0,0,1.414214,1,1
1,0,2.236068,1,1
1,2,3,2,3.605551
1,1,5.830952,5.09902,5.09902
1,2.236068,5.656854,1,1
1.414214,1,1.414214,0,1
1.414214,1.414214,1.414214,1.414214,1
1.414214,0,1,1,1
0,0,1,1,1.414214
1.414214,0,1.414214,1,0
1.414214,1,2.236068,2,0
1.414214,1,1.414214,2.236068,2
1.414214,2.236068,2,1.414214,0
1.414214,0,1,1.414214,1
1.414214,0,2.236068,1.414214,1
1,0,1,1.414214,1
1,1,1.414214,0,1.414214
1,1,1.414214,1,1
1.414214,0,1.414214,1.414214,0
2.236068,4.123106,1.414214,3,3.605551
1,3.605551,2.828427,5.830952,4.472136
1.414214,1,1.414214,1,0
1.414214,1.414214,1.414214,0,1.414214
0,2.236068,1.414214,1.414214,1
1.414214,1.414214,1,1,2.236068
1.414214,1,2,1.414214,1
1.414214,2,2.236068,2,0
1,1,1,0,0
1,0,2,1.414214,2.236068
1.414214,0,1,0,1
1,4.123106,4,4.123106,1.414214
1.414214,1.414214,1,1.414214,2
1,1,2,2.236068,2.236068
1.414214,1,2,2,1.414214
1,1,1,1.414214,1.414214
1.414214,1,1,1.414214,1
1,1,3.162278,1.414214,1
1.414214,0,2.236068,1,1
1.414214,1,1.414214,1.414214,2
0,2.236068,1,1,1
1.414214,0,1.414214,1,1.414214
1.414214,1,0,1.414214,1
1,3,2.236068,1,1
1.414214,1.414214,0,2.236068,2.236068
1.414214,1,1,1,0
1.414214,2,1.414214,2.236068,1.414214
1.414214,0,1.414214,1.414214,1
1,1,0,1,1.414214
1,1.414214,1.414214,1.414214,2
1.414214,1,2.236068,0,0
1.414214,1,1,1,1
1.414214,1,1,1,1.414214
1.414214,1.414214,0,2,1
0,2,1,2.236068,2.236068
0,1,2,1,1
0,1,1,1.414214,1
1.414214,1,1.414214,1,0
1.414214,4.123106,1,1,4.123106
0,2,0,0,2.236068
3.162278,0,5.385165,5.385165,2.236068
1.414214,1.414214,2.236068,0,2.236068
1.414214,0,1.414214,1,1
1,4,2,1.414214,4.472136
1.414214,1,2,1.414214,1
1.414214,0,1.414214,1,1
1.414214,9.219544,8.062258,2.236068,6.324555
1.414214,2.236068,1,3.162278,4
1,1,1,1,0
1.414214,0,1,1,0
1.414214,2,2.236068,1,1.414214
1.414214,1.414214,2,0,0
1.414214,1,1.414214,3.162278,0
1.414214,1.414214,1,1.414214,1
1.414214,2.236068,1,1,1
1.414214,1,1,1,1.414214
1.414214,6.082763,2.236068,0,3.605551
1.414214,1.414214,1.414214,1.414214,1.414214
1.414214,1,2.828427,1.414214,2.828427
1.414214,1.414214,1,1,1.414214
1.414214,1,2,1,1.414214
1.414214,2,1,0,1.414214
1,1.414214,2.236068,1,0
1.414214,1.414214,0,1,1
1,1,2.236068,2.236068,2.236068
3.162278,1,1.414214,4,2.236068
1.414214,3,2.236068,1,2.236068
1.414214,1,1,1,1.414214
0,1,1.414214,0,1.414214
1.414214,1,2,0,0
1.414214,5.385165,2,1.414214,5.385165
1.414214,1,1,0,1
1.414214,1.414214,0,1,1.414214
1.414214,0,2,0,0
1,1,1,1,1.414214
1.414214,1,1.414214,1.414214,1
1.414214,0,4,3.162278,3.162278
1.414214,1.414214,1,2.236068,2
1.414214,1,0,1.414214,0
1.414214,1,1,0,1
1.414214,1.414214,1.414214,1.414214,1
1.414214,1,1,1,1
1.414214,1.414214,2.236068,1,2
1.414214,1,1.414214,1,1.414214
1,1,0,1,1
1.414214,0,0,1.414214,0
1.414214,0,1.414214,1,1.414214
1.414214,1.414214,0,2.236068,1
1.414214,1.414214,1,1,1
1,1,1,1,1
1.414214,1,0,0,0
1.414214,1,2,1,2
1.414214,1,0,3,1
0,1,2.236068,0,1
1.414214,1.414214,1.414214,1,1.414214
1.414214,1,1,1.414214,1.414214
1.414214,1,1,0,1
1.414214,0,0,0,1.414214
1.414214,1,1.414214,0,1
1.414214,1.414214,1,1.414214,1
1.414214,1,1.414214,2,1
1.414214,2,3,1.414214,1.414214
1.414214,1,0,1,1
1,0,2,2,2.236068
1.414214,1,1,1,1.414214
0,3.162278,1.414214,2,1
1.414214,1,1.414214,2.236068,1
1.414214,0,4.123106,1.414214,0
0,1,1,1.414214,1.414214
1.414214,0,1.414214,1,3.162278
1.414214,0,1,1.414214,1
1.414214,1.414214,1.414214,2.236068,1.414214
1.414214,1,1.414214,0,1.414214
1,1.414214,1.414214,0,1
1.414214,1,2,0,2
0,1,1,2,3.162278
1,1.414214,1,2.236068,2.236068
1,1,1.414214,1.414214,1
1.414214,1,1,2,1
1.414214,1,1.414214,1.414214,1
0,1,1.414214,1,1
1.414214,0,1,1,1
1.414214,1,1.414214,1.414214,1
1,5.09902,3.162278,3.605551,1.414214
1.414214,0,0,1.414214,1.414214
1.414214,0,1,1,1.414214
1,1,2.828427,1,1.414214
16.492423,6.403124,3.605551,13.341664,18.867962
1,1.414214,2,1,1
1.414214,1,1,1.414214,1.414214
1.414214,0,1.414214,1.414214,1
1.414214,1,0,1,1.414214
1.414214,1,2.828427,1,1.414214
1.414214,0,1,0,1
1,1,1,2,0
1.414214,2,3.605551,1,3
1.414214,1.414214,2.828427,0,1.414214
1.414214,1,1,1,2.236068
1.414214,1,1.414214,1,1.414214
1.414214,2.236068,1.414214,1,1
1,1.414214,0,2.236068,0
0,9.486833,7,8.062258,15.033296
1.414214,1,1.414214,2.236068,1.414214
1,1,1,1.414214,0
1.414214,2.236068,2.236068,0,2
1.414214,1,2.236068,1.414214,0
1.414214,1,0,0,1.414214
1.414214,1,2.236068,0,1
1,1.414214,1.414214,1.414214,1
1.414214,1,1.414214,2,2
1.414214,1.414214,0,1,1
1651,,,,
