Left Eye,Right Eye,Nose,Left Mouth,Right Mouth
1,1.414214,3.605551,1.414214,2.236068
1.414214,1.414214,1,2,1
1,1.414214,2,1,2
1.414214,1.414214,1,0,1.414214
1.414214,1.414214,3.162278,1,1
1.414214,0,4.472136,1.414214,0
1.414214,1,1,1,2.236068
1.414214,2.828427,4.123106,1.414214,4.242641
1.414214,1.414214,1,1,0
1,0,1,1,1.414214
1.414214,1.414214,1,1,1
1.414214,1.414214,1.414214,2,0
1,1.414214,1,1,2.236068
1,0,0,1.414214,0
1,1.414214,1,2.236068,1
1.414214,2,3,1.414214,1.414214
1.414214,0,2.828427,1.414214,1.414214
1.414214,0,0,1.414214,1.414214
4,2.236068,2.236068,3.162278,1
1.414214,1,2.236068,0,1
1.414214,2,1.414214,1,2
0,1,1,1.414214,0
1,1,2.236068,1,2
1.414214,1,1,1.414214,1
1,1.414214,1,1,1.414214
0,2.828427,1,1.414214,2.236068
1.414214,1.414214,1,2,2
1.414214,1,1,2,0
1.414214,1,1,1.414214,1
1.414214,0,1.414214,1,0
1,1,2,0,1
1,7.071068,7.615773,6.082763,7.81025
1.414214,1.414214,2.828427,2.236068,2.236068
1,1,2,1.414214,1
1,2.236068,1.414214,1,2.236068
1.414214,1,1.414214,1,0
1.414214,1.414214,2.236068,1.414214,0
1.414214,1,1.414214,1,0
1,1,1,1.414214,1.414214
0,0,0,1,3
1.414214,2,1,1,2.236068
1,2.236068,3.162278,1,1
2,2,3.605551,2,2
1.414214,1,1.414214,0,2.236068
1.414214,1.414214,2.236068,1.414214,2
1.414214,2.236068,1,0,1.414214
1,1,1,1,1
1,1,1.414214,0,2
1,1,1.414214,1,1
1.414214,1,1,1.414214,1
1.414214,3.162278,2.236068,1,0
1.414214,1.414214,2.236068,1.414214,1
1.414214,0,1,1.414214,0
1.414214,2.236068,1,3.605551,1.414214
1,1,0,1.414214,1.414214
1.414214,1,1.414214,1.414214,1
1.414214,1.414214,0,1,1.414214
1.414214,1,1.414214,1.414214,1.414214
2,2.236068,2,1,1
1.414214,1,1.414214,1,1
0,1.414214,1,1,0
1.414214,1,1,1.414214,1
1.414214,0,1,2.236068,1
1,1.414214,3.162278,5.09902,1.414214
1.414214,1.414214,1,1.414214,1
1.414214,1,1,1,2.236068
1.414214,1,1,1.414214,0
1.414214,1,0,0,1.414214
1.414214,0,2,5,1
1,1,2.236068,2.236068,2.236068
1.414214,1,1,1,1
1.414214,1,2.236068,1,1
1.414214,2.236068,1.414214,2,1
1.414214,1,1,0,1
1.414214,1,1.414214,1.414214,1.414214
1.414214,1,1.414214,1,1.414214
0,1,1.414214,0,1.414214
1,1,1,1,0
1.414214,1.414214,0,1.414214,0
1.414214,1,2.828427,1.414214,4
1.414214,2.236068,2.236068,1,1.414214
1,1,1,1,1
1,1,1,1,0
1.414214,2.828427,1,1.414214,2.236068
1.414214,1.414214,4.123106,1.414214,2
1.414214,0,1.414214,2,0
0,0,0,1,1.414214
1.414214,1.414214,1.414214,1,2.236068
1.414214,1.414214,1,1,1
1.414214,1,1.414214,0,1
1.414214,1.414214,1,0,1
1.414214,1,2,1,1
1.414214,1,1.414214,1,1
1.414214,0,1.414214,1.414214,1
1.414214,1,1.414214,1,1
1,2.236068,3.605551,2.236068,1.414214
1,1.414214,3,2,2.236068
1.414214,1.414214,2,0,1
1.414214,1.414214,1,0,0
1.414214,1,3,1,1
1.414214,2.236068,4,1,2.828427
1,2,1,1,0
1,4.242641,3,1.414214,4
2,1,2.236068,3,2.828427
1.414214,1.414214,1,1,1
1,1.414214,1.414214,1,0
1.414214,2.236068,1,1,2
0,2,1.414214,0,2
1.414214,1,1.414214,1,1.414214
1.414214,2.236068,1,2,1
1.414214,2.236068,1.414214,0,1
0,1,1,1.414214,1.414214
1,1,1,1.414214,0
1.414214,1,0,1,1
1.414214,1.414214,4.123106,3.162278,1.414214
1.414214,1,1,1.414214,0
1,1,3.162278,2,1.414214
1.414214,1,2.828427,2,1.414214
1.414214,1,1.414214,1,1.414214
1.414214,2.236068,2.236068,2.236068,2.236068
1.414214,2.236068,1,1,3.162278
1.414214,1.414214,1,1.414214,1
1.414214,1.414214,2,2.236068,1
1.414214,1.414214,1,1,1
1.414214,1,1.414214,1,1
1.414214,1.414214,2.236068,1.414214,0
